originalType;modifiedType
?;OTHER
ABNORMAL WARMTH;HEAT
ABNORMALLY DRY;HEAT
ABNORMALLY WET;OTHER
ACCUMULATED SNOWFALL;OTHER
AGRICULTURAL FREEZE;OTHER
APACHE COUNTY;OTHER
ASTRONOMICAL HIGH TIDE;OTHER
AVALANCE;AVALANCHE
BEACH EROSIN;OTHER
BEACH EROSION;OTHER
BEACH EROSION/COASTAL FLOOD;COASTAL FLOOD
BEACH FLOOD;COASTAL FLOOD
BELOW NORMAL PRECIPITATION;OTHER
BITTER WIND CHILL;EXTREME COLD/WIND CHILL
BITTER WIND CHILL TEMPERATURES;EXTREME COLD/WIND CHILL
BLACK ICE;ICE STORM
BLIZZARD AND EXTREME WIND CHIL;BLIZZARD
BLIZZARD AND HEAVY SNOW;BLIZZARD
BLIZZARD WEATHER;BLIZZARD
BLIZZARD/FREEZING RAIN;BLIZZARD
BLIZZARD/HEAVY SNOW;BLIZZARD
BLIZZARD/HIGH WIND;BLIZZARD
BLIZZARD/WINTER STORM;BLIZZARD
BLOWING DUST;DUST STORM
BLOWING SNOW;EXTREME COLD/WIND CHILL
BLOWING SNOW & EXTREME WIND CH;EXTREME COLD/WIND CHILL
BLOWING SNOW- EXTREME WIND CHI;EXTREME COLD/WIND CHILL
BLOWING SNOW/EXTREME WIND CHIL;EXTREME COLD/WIND CHILL
BLOW-OUT TIDE;STORM SURGE/TIDE
BLOW-OUT TIDES;STORM SURGE/TIDE
BREAKUP FLOODING;FLOOD
BRUSH FIRE;WILDFIRE
BRUSH FIRES;WILDFIRE
COASTAL  FLOODING/EROSION;COASTAL FLOOD
COASTAL EROSION;OTHER
COASTAL FLOODING;COASTAL FLOOD
COASTAL FLOODING/EROSION;COASTAL FLOOD
COASTAL STORM;OTHER
COASTAL SURGE;COASTAL FLOOD
COASTAL/TIDAL FLOOD;COASTAL FLOOD
COASTALFLOOD;COASTAL FLOOD
COASTALSTORM;OTHER
COLD;COLD/WIND CHILL
COLD AIR FUNNEL;COLD/WIND CHILL
COLD AIR FUNNELS;COLD/WIND CHILL
COLD AIR TORNADO;COLD/WIND CHILL
COLD AND FROST;COLD/WIND CHILL
COLD AND SNOW;COLD/WIND CHILL
COLD AND WET CONDITIONS;COLD/WIND CHILL
COLD TEMPERATURE;COLD/WIND CHILL
COLD TEMPERATURES;COLD/WIND CHILL
COLD WAVE;COLD/WIND CHILL
COLD WEATHER;COLD/WIND CHILL
COLD WIND CHILL TEMPERATURES;COLD/WIND CHILL
COLD/WINDS;COLD/WIND CHILL
COOL AND WET;COLD/WIND CHILL
COOL SPELL;COLD/WIND CHILL
CSTL FLOODING/EROSION;COASTAL FLOOD
DAM BREAK;OTHER
DAM FAILURE;OTHER
DAMAGING FREEZE;FROST/FREEZE
DEEP HAIL;HAIL
DOWNBURST;COLD/WIND CHILL
DOWNBURST WINDS;COLD/WIND CHILL
DRIEST MONTH;OTHER
DRIFTING SNOW;OTHER
DROUGHT/EXCESSIVE HEAT;DROUGHT
DROWNING;OTHER
DRY;HEAT
DRY CONDITIONS;HEAT
DRY HOT WEATHER;HEAT
DRY MICROBURST;THUNDERSTORM WIND
DRY MICROBURST 50;THUNDERSTORM WIND
DRY MICROBURST 53;THUNDERSTORM WIND
